Membership No  Date Joined  Active  
    94372      2015-9-16    yes   
    13689      2019-11-19   yes   
    14797      2019-3-25    yes   
    43298      2016-10-22   no    
    57211      2020-1-20    no    
    10497      2018-7-11    no    
    85308      2015-4-21    no    
    38639      2015-11-13   yes   
    69318      2020-9-1     no    
    66522      2018-1-22    no    
    92857      2018-7-15    no    
    40499      2016-5-6     yes   
    31189      2019-12-8    yes   
    15751      2019-2-22    no    
    40908      2018-9-10    no    
    58946      2019-2-14    yes   
    23779      2017-4-24    no    
    73471      2017-11-13   no    
    49086      2019-7-22    yes   
    64864      2018-6-12    yes   
